feature,news,news,news,wiki,wiki,wiki,web,web,web
get_ratio_of_subordinate_clauses,0.06$\pm$0.05,0.06$\pm$0.05,,0.03$\pm$0.04,0.03$\pm$0.04,,0.01$\pm$0.04,0.01$\pm$0.04,
get_ratio_of_symbols,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.0,0.0$\pm$0.0,
get_ratio_of_verbs,0.15$\pm$0.06,0.16$\pm$0.07,*,0.12$\pm$0.06,0.13$\pm$0.06,*,0.06$\pm$0.07,0.07$\pm$0.08,**
get_ratio_prepositional_phrases,0.1$\pm$0.06,0.1$\pm$0.06,*,0.12$\pm$0.06,0.12$\pm$0.06,,0.05$\pm$0.07,0.05$\pm$0.08,
get_ratio_referential,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.01,0.0$\pm$0.01,,0.01$\pm$0.04,0.01$\pm$0.03,
get_ratio_relative_phrases,0.02$\pm$0.03,0.02$\pm$0.03,*,0.02$\pm$0.03,0.02$\pm$0.03,,0.0$\pm$0.02,0.0$\pm$0.02,
get_type_token_ratio,0.89$\pm$0.08,0.92$\pm$0.08,**,0.89$\pm$0.09,0.89$\pm$0.09,,0.95$\pm$0.08,0.95$\pm$0.08,*
is_non_projective,0.09$\pm$0.28,0.05$\pm$0.21,,0.07$\pm$0.25,0.06$\pm$0.24,,0.01$\pm$0.12,0.01$\pm$0.09,
max_pos_in_freq_table,10.8$\pm$0.19,10.8$\pm$0.2,,10.82$\pm$0.03,10.82$\pm$0.05,,8.67$\pm$1.58,8.49$\pm$1.57,*
sentence_fkgl,12.85$\pm$5.24,10.14$\pm$4.95,***,12.22$\pm$3.97,11.13$\pm$4.05,***,13.06$\pm$5.22,11.16$\pm$4.66,***
sentence_fre,43.89$\pm$25.85,53.49$\pm$26.73,***,42.31$\pm$21.38,48.73$\pm$21.68,***,14.91$\pm$36.24,27.96$\pm$31.91,***
N,,218589,,,19377,,,64900,
